date (UTC),description,moneyIn (Satoshi),moneyOut (Satoshi),tx hash,current balance (Satoshi)
2022-11-16T10:40:28Z,PAYMENT RECEIVED,647917697,0,27ccd2961b7a0ce1b9039cd64cd157442ce75475a147611e4e93bdbe6a01397d,14949683198
2022-11-16T10:19:55Z,PAYMENT RECEIVED,641058522,0,c3d54537623df155d4d87dee32a1a43167cb5bb80e6719ef6da01ed46fa2d088,14301765501
2022-11-16T09:41:21Z,PAYMENT RECEIVED,641287298,0,0a3ed47751739d6e08865a7fcc5ac0e852f127784de60bc2b469b5de53936894,13660706979
2022-11-16T08:58:41Z,PAYMENT RECEIVED,652412312,0,d01e066cce1a7b73d994a8b8af97f07fdae80d617197be43e3ccefc4d69bc71e,13019419681
2022-11-16T08:55:43Z,PAYMENT SENT,0,-5692913439,45247ccb2a9ae0f6289ce70050a4a45e142af28acf473a57007b98f369c1358d,12367007369
2022-11-16T08:02:16Z,PAYMENT RECEIVED,660076051,0,7b66524165c47a0e45d66d2354e936391643b18f0ef14d04be541aabc0623c7f,18059920808
2022-11-16T07:33:51Z,PAYMENT RECEIVED,640726957,0,993b5b433aea22afd2791af3983532ecf22580eb421da5590eeca9373627aa60,17399844757
2022-11-16T06:26:59Z,PAYMENT SENT,0,-7692412869,60713a6c03ccdc428b62ab10d56d76bb9eac7be31a39a1f5d491e4ea46ea49d7,16759117800
2022-11-16T04:56:04Z,PAYMENT RECEIVED,644195439,0,6220960f8b9c78270092b4c78c9651a89133c45468ef49eda1d5249959cb89b2,24451530669
2022-11-16T04:10:51Z,PAYMENT RECEIVED,654840773,0,2494790577807f3f9633b617efad2308e16b0eb962a81ac319ae84562abe8380,23807335230
2022-11-16T03:28:00Z,PAYMENT RECEIVED,642737208,0,00be1755e6683690775b6fdfda273d14660c961ac7922b0cfa7e6b7e778d6acb,23152494457
2022-11-16T02:46:03Z,PAYMENT SENT,0,-1275084029,8edbe2cfdbd29cf15cb0f76dca0006b07d35caa457bfe4e379dd3deb4ff75b69,37412039747
2022-11-16T02:46:03Z,PAYMENT SENT,0,-5261014793,3521cae8f637821e71cb31bf28a3b8af70d01869a7dc2217a7a2dcabbf11cb09,32151024954
2022-11-16T02:46:03Z,PAYMENT SENT,0,-9641267705,1472aafb8ce0731fb8f99643630b06c9b3d235ce55932373252203fc26527f64,22509757249
2022-11-16T01:27:45Z,PAYMENT RECEIVED,647531601,0,dd1dae6576c6c482c0b1d46263a38206713b06d70269ab72db8247cc2a24c72b,38687123776
2022-11-16T01:14:01Z,PAYMENT RECEIVED,643548381,0,1a3fa29906a42189e54376a6d76c63e6f876776e1cda0360d3b601810cfed080,38039592175
2022-11-16T00:53:39Z,PAYMENT RECEIVED,652145774,0,3e39d6cfd154c51798145b665808ad63139c6c71e340aaf3cc31103f50b5aba8,37396043794
2022-11-16T00:27:34Z,PAYMENT RECEIVED,644889891,0,96eeb182d0a13406a30a1a14140172cf53e57063bc51643d376f27ac3732cca2,36743898020
2022-11-16T00:00:35Z,PAYMENT SENT,0,-625216520,4c5a176edb760ff007aaed2e3434023ee94ca162e9b18278db2986cc85af401e,36099008129
2022-11-15T22:40:35Z,PAYMENT RECEIVED,668738958,0,bf8debe631afbd51041e403bd87de95cff3f02da5ca9e3a531633da766e6415e,36724224649
2022-11-15T21:34:11Z,PAYMENT RECEIVED,647128487,0,d3ce0a931c8f2de864370ac54f2ed63aacea09468b71481a23abe7dcef8d17f6,36055485691
2022-11-15T21:18:42Z,PAYMENT RECEIVED,641652182,0,60ff8c2d4fa759d51270322b08d75aa9b4704770e57a54d1937876668dd58906,35408357204
2022-11-15T21:14:47Z,PAYMENT RECEIVED,647854154,0,1ba2aaa4db3a50a8854ebcb78ae14296cc36ac0c63e463a162d06488826b30c9,34766705022
2022-11-15T18:53:48Z,PAYMENT RECEIVED,659902199,0,aec8c3799287255c273b3ef92a1578c4d19a8a6df8b0e41df42b24ae3d816d16,34118850868
2022-11-15T18:37:12Z,PAYMENT RECEIVED,646486522,0,c2fca83f1c37948242eec177afeddd75ac48f1e2c815dcab53795de5b35a74be,33458948669
2022-11-15T17:26:34Z,PAYMENT RECEIVED,661799593,0,f6cf96f3b6d8816dcc1a732866b7275001b676cb883de65959bdfe5ee827d5f2,32812462147
2022-11-15T17:02:56Z,PAYMENT RECEIVED,656385093,0,8e300c5058dc8aca27368bef74f6f479e23362aed813f4721175bccc3d8677c1,32150662554
2022-11-15T16:38:22Z,PAYMENT RECEIVED,646613552,0,5872721e2bb378c01ecfdfb10dcc2362b23398965dd7d136bc34a5d6e4abcc26,31494277461
2022-11-15T16:05:18Z,PAYMENT RECEIVED,659470012,0,43838d84dcc4872188a017fdc3c93d0385d72bd2653af612494bfd4fb50a23a8,30847663909
